Incidence and mortality trends by age
"10 registries, Both sexes, 6 cancers, All ages, by 30 year age groups"
"Indicator","Registry","Sex","Cancer","Age group",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
"Incidence","DE Bavaria","Male","Leukaemia","60+","","","","","","","","","","",51.9,55.9,55.5,55.2,55.7,52.1,54.5,51.4,50.4,49.3,"",
"Incidence","DE Bavaria","Male","Leukaemia","30-59","","","","","","","","","","",8.1,7.0,8.7,8.0,8.2,7.5,8.2,7.9,7.2,7.8,"",
"Incidence","DE Bavaria","Male","Leukaemia","0-29","","","","","","","","","","",2.9,3.7,4.0,4.4,3.8,4.1,3.7,3.5,4.0,4.2,"",
"Incidence","DE Bavaria","Male","Thyroid gland","60+","","","","","","","","","","",9.1,9.4,8.9,9.9,11.1,11.9,12.4,10.8,9.5,9.6,"",
"Incidence","DE Bavaria","Male","Thyroid gland","30-59","","","","","","","","","","",5.2,6.2,4.9,6.3,8.0,8.2,8.6,7.2,7.3,7.2,"",
"Incidence","DE Bavaria","Male","Thyroid gland","0-29","","","","","","","","","","",0.3,1.0,0.8,0.6,0.8,0.8,1.2,0.8,1.1,1.2,"",
"Incidence","DE Bavaria","Male","Melanoma of the skin","60+","","","","","","","","","","",48.0,52.7,52.9,58.5,58.3,71.5,76.1,79.2,74.9,77.0,"",
"Incidence","DE Bavaria","Male","Melanoma of the skin","30-59","","","","","","","","","","",14.3,16.5,16.7,15.1,17.1,20.2,20.7,21.4,22.0,20.8,"",
"Incidence","DE Bavaria","Male","Melanoma of the skin","0-29","","","","","","","","","","",2.0,1.6,1.9,1.6,1.9,1.9,1.7,2.4,2.5,1.6,"",
"Incidence","DE Bavaria","Male","Lung","60+","","","","","","","","","","",260.0,255.6,249.3,257.0,244.1,257.5,243.5,239.0,229.7,225.9,"",
"Incidence","DE Bavaria","Male","Lung","30-59","","","","","","","","","","",30.6,28.6,30.6,30.4,30.1,29.4,28.9,28.7,29.7,27.2,"",
"Incidence","DE Bavaria","Male","Lung","0-29","","","","","","","","","","",0.1,0.0,0.2,0.2,0.1,0.2,0.3,0.3,0.1,0.3,"",
"Incidence","DE Bavaria","Male","Pancreas","60+","","","","","","","","","","",66.3,66.7,69.2,71.8,67.9,74.2,70.7,74.2,76.9,73.0,"",
"Incidence","DE Bavaria","Male","Pancreas","30-59","","","","","","","","","","",7.6,6.8,7.7,7.5,8.0,7.5,8.4,7.1,7.4,7.8,"",
"Incidence","DE Bavaria","Male","Pancreas","0-29","","","","","","","","","","",0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.1,"",
"Incidence","DE Bavaria","Male","Stomach","60+","","","","","","","","","","",97.4,103.9,99.0,100.5,90.9,94.1,87.4,80.0,86.2,76.3,"",
"Incidence","DE Bavaria","Male","Stomach","30-59","","","","","","","","","","",9.0,10.6,9.1,9.6,9.8,9.7,9.6,10.8,10.4,11.3,"",
"Incidence","DE Bavaria","Male","Stomach","0-29","","","","","","","","","","",0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,"",
"Incidence","DE Bavaria","Female","Leukaemia","60+","","","","","","","","","","",34.3,37.3,35.6,36.2,36.2,33.3,35.6,33.0,31.9,30.1,"",
"Incidence","DE Bavaria","Female","Leukaemia","30-59","","","","","","","","","","",5.8,6.2,5.0,5.1,5.3,5.4,5.6,5.6,5.2,5.4,"",
"Incidence","DE Bavaria","Female","Leukaemia","0-29","","","","","","","","","","",2.1,2.4,3.4,2.4,3.0,2.7,3.0,2.8,3.3,3.1,"",
"Incidence","DE Bavaria","Female","Thyroid gland","60+","","","","","","","","","","",14.6,14.2,16.4,17.8,17.6,20.9,18.5,18.0,16.0,14.3,"",
"Incidence","DE Bavaria","Female","Thyroid gland","30-59","","","","","","","","","","",14.1,14.5,16.5,16.4,21.5,24.1,23.8,20.1,16.8,19.5,"",
"Incidence","DE Bavaria","Female","Thyroid gland","0-29","","","","","","","","","","",2.5,3.4,2.3,2.9,3.6,3.2,3.9,4.1,3.6,4.5,"",
"Incidence","DE Bavaria","Female","Melanoma of the skin","60+","","","","","","","","","","",32.6,36.9,35.6,36.2,37.4,43.6,41.8,44.3,45.2,47.4,"",
"Incidence","DE Bavaria","Female","Melanoma of the skin","30-59","","","","","","","","","","",17.6,20.0,21.2,19.6,20.4,22.4,23.3,26.1,25.8,26.2,"",
"Incidence","DE Bavaria","Female","Melanoma of the skin","0-29","","","","","","","","","","",3.5,2.5,3.0,3.6,3.6,3.2,3.4,4.4,5.5,3.9,"",
"Incidence","DE Bavaria","Female","Lung","60+","","","","","","","","","","",69.4,74.0,70.8,77.9,78.6,87.5,90.2,89.9,91.5,92.9,"",
"Incidence","DE Bavaria","Female","Lung","30-59","","","","","","","","","","",16.4,16.4,18.8,16.8,19.8,18.1,19.1,18.4,18.8,19.1,"",
"Incidence","DE Bavaria","Female","Lung","0-29","","","","","","","","","","",0.1,0.2,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.3,"",
"Incidence","DE Bavaria","Female","Pancreas","60+","","","","","","","","","","",52.2,58.8,61.8,59.4,60.0,65.4,62.9,65.0,66.3,62.2,"",
"Incidence","DE Bavaria","Female","Pancreas","30-59","","","","","","","","","","",5.2,4.3,4.1,4.4,4.7,4.8,4.5,5.2,5.2,5.5,"",
"Incidence","DE Bavaria","Female","Pancreas","0-29","","","","","","","","","","",0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,"",
"Incidence","DE Bavaria","Female","Stomach","60+","","","","","","","","","","",65.7,63.2,65.3,60.8,58.4,55.5,55.0,53.2,49.2,46.3,"",
"Incidence","DE Bavaria","Female","Stomach","30-59","","","","","","","","","","",6.0,7.5,6.6,5.9,5.7,6.4,6.1,6.4,5.4,5.8,"",
"Incidence","DE Bavaria","Female","Stomach","0-29","","","","","","","","","","",0.1,0.1,0.1,0.2,0.2,0.3,0.0,0.4,0.2,0.2,"",
"Incidence","DE Berlin et al","Male","Leukaemia","60+","","","","","",52.1,52.3,50.2,54.7,55.7,60.4,56.2,58.1,59.0,57.8,58.2,65.2,60.8,62.3,63.7,58.3,
"Incidence","DE Berlin et al","Male","Leukaemia","30-59","","","","","",8.5,9.0,8.1,9.4,8.4,7.5,8.6,8.6,8.8,9.4,9.9,8.7,7.5,10.3,9.4,9.7,
"Incidence","DE Berlin et al","Male","Leukaemia","0-29","","","","","",2.2,3.0,3.2,3.5,3.1,2.4,3.0,2.9,4.3,4.3,3.7,3.8,3.9,3.2,3.0,4.0,
"Incidence","DE Berlin et al","Male","Thyroid gland","60+","","","","","",8.0,6.5,5.7,7.7,8.1,7.0,6.6,6.8,5.8,7.9,7.5,7.7,6.9,6.7,6.5,7.2,
"Incidence","DE Berlin et al","Male","Thyroid gland","30-59","","","","","",2.6,2.9,3.6,3.4,3.7,3.8,3.6,3.6,4.0,4.2,3.7,4.2,3.8,5.5,4.9,4.7,
"Incidence","DE Berlin et al","Male","Thyroid gland","0-29","","","","","",0.4,0.5,0.6,0.7,0.5,0.3,0.6,0.9,0.9,0.7,0.8,1.0,0.7,0.3,0.7,0.9,
"Incidence","DE Berlin et al","Male","Melanoma of the skin","60+","","","","","",28.4,32.2,34.4,36.4,34.3,38.1,40.0,44.3,45.0,45.2,57.1,58.5,55.0,57.3,56.1,54.8,
"Incidence","DE Berlin et al","Male","Melanoma of the skin","30-59","","","","","",11.0,12.7,13.2,11.7,10.8,12.4,11.3,10.3,11.0,12.2,13.2,15.2,13.1,15.2,14.1,15.4,
"Incidence","DE Berlin et al","Male","Melanoma of the skin","0-29","","","","","",0.7,1.1,1.1,1.5,0.9,1.6,1.9,2.1,1.4,1.5,2.7,2.4,1.5,1.4,1.4,1.6,
"Incidence","DE Berlin et al","Male","Lung","60+","","","","","",368.0,381.3,363.6,344.8,341.9,343.0,330.9,326.4,330.6,327.4,310.3,325.8,310.9,304.7,299.5,286.8,
"Incidence","DE Berlin et al","Male","Lung","30-59","","","","","",41.0,41.5,41.1,35.9,34.3,35.0,35.8,35.8,36.3,37.1,42.1,43.4,43.7,45.8,46.9,44.7,
"Incidence","DE Berlin et al","Male","Lung","0-29","","","","","",0.1,0.1,0.2,0.2,0.3,0.2,0.0,0.3,0.4,0.4,0.3,0.4,0.3,0.1,0.2,0.3,
"Incidence","DE Berlin et al","Male","Pancreas","60+","","","","","",57.5,61.9,59.6,64.5,58.4,62.0,64.2,66.2,70.6,73.4,70.1,74.9,74.5,74.5,76.8,82.3,
"Incidence","DE Berlin et al","Male","Pancreas","30-59","","","","","",7.9,8.0,9.0,8.4,8.6,8.3,8.0,9.8,9.7,9.7,10.0,11.0,11.1,10.1,12.9,12.6,
"Incidence","DE Berlin et al","Male","Pancreas","0-29","","","","","",0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.3,0.1,0.1,0.0,
"Incidence","DE Berlin et al","Male","Stomach","60+","","","","","",120.3,122.3,123.3,115.4,111.1,105.9,104.5,105.3,101.7,102.8,98.2,101.3,89.6,88.1,93.2,86.7,
"Incidence","DE Berlin et al","Male","Stomach","30-59","","","","","",12.9,12.7,11.0,12.5,11.7,13.5,11.1,12.6,13.4,13.4,12.2,13.0,12.2,13.5,12.2,12.0,
"Incidence","DE Berlin et al","Male","Stomach","0-29","","","","","",0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.2,0.3,0.1,0.2,0.0,0.6,0.2,0.0,
"Incidence","DE Berlin et al","Female","Leukaemia","60+","","","","","",32.2,34.5,34.9,34.9,34.4,36.0,39.6,39.3,38.3,37.3,34.8,37.6,37.3,34.4,39.1,37.4,
"Incidence","DE Berlin et al","Female","Leukaemia","30-59","","","","","",5.7,5.3,6.2,6.6,6.1,5.6,6.5,5.2,5.5,6.1,6.7,6.2,6.5,7.4,6.5,7.0,
"Incidence","DE Berlin et al","Female","Leukaemia","0-29","","","","","",2.0,2.1,3.2,3.1,2.5,2.2,2.7,2.4,3.0,3.5,2.7,2.9,2.4,2.3,3.1,3.6,
"Incidence","DE Berlin et al","Female","Thyroid gland","60+","","","","","",13.8,11.9,10.6,11.8,11.4,12.0,10.9,10.8,12.3,10.8,11.3,12.0,10.5,10.4,10.5,10.6,
"Incidence","DE Berlin et al","Female","Thyroid gland","30-59","","","","","",8.9,8.7,10.0,9.5,9.2,9.3,10.1,9.5,10.8,10.7,11.5,11.5,12.9,12.7,12.1,11.1,
"Incidence","DE Berlin et al","Female","Thyroid gland","0-29","","","","","",1.2,2.1,1.4,2.0,2.3,1.3,2.0,2.8,2.1,2.2,1.7,3.4,3.3,2.3,3.0,3.0,
"Incidence","DE Berlin et al","Female","Melanoma of the skin","60+","","","","","",20.3,22.6,24.0,23.2,24.5,25.1,23.1,26.1,26.4,29.8,32.2,32.8,29.4,34.1,32.5,31.3,
"Incidence","DE Berlin et al","Female","Melanoma of the skin","30-59","","","","","",12.2,12.8,13.3,13.6,14.5,14.1,13.3,12.5,15.5,15.3,17.9,17.1,18.6,17.6,18.5,16.2,
